Distanza,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Focus1,Focus2,Focus3,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Damage,DistanceRaced,RPM,Accelerate,Brake,Steering,Gear
5687.43,6.34903,7.17717,8.55261,10.9934,16.0669,31.6208,190.939,31.7259,16.095,11.0066,8.56036,7.18231,6.35268,5.85433,-1.0,-1.0,-1.0,1.32387E-4,-2.69111E-4,22.3278,2.92084E-4,0.0,3.33154,2708.63,1.0,0.0,0.0,1
5687.81,6.34941,7.17757,8.55302,10.9938,16.0672,31.6196,190.49,31.7271,16.0947,11.0062,8.55995,7.18192,6.3523,5.85395,-1.0,-1.0,-1.0,6.06884E-5,-2.88661E-4,23.9913,-1.36187E-4,0.0,3.71777,2932.06,1.0,0.0,0.0,1
5688.23,6.34916,7.17732,8.55278,10.9936,16.0672,31.621,190.133,31.7256,16.0947,11.0064,8.56019,7.18216,6.35254,5.8542,-1.0,-1.0,-1.0,1.08979E-4,-2.71972E-4,25.8101,-2.43606E-4,0.0,4.1333,3180.56,1.0,0.0,0.0,1
5688.68,6.34878,7.17688,8.55226,10.993,16.0662,31.6192,189.683,31.7275,16.0957,11.0071,8.56071,7.1826,6.35293,5.85455,-1.0,-1.0,-1.0,1.70274E-4,-2.71495E-4,27.7578,6.28149E-5,0.0,4.58008,3453.49,1.0,0.0,0.0,1
5689.16,6.34925,7.17742,8.55288,10.9937,16.0673,31.6211,189.207,31.7256,16.0946,11.0063,8.56008,7.18206,6.35245,5.85411,-1.0,-1.0,-1.0,9.32867E-5,-2.74356E-4,29.8163,1.08276E-4,0.0,5.06006,3771.62,1.0,0.0,0.0,1
5689.67,6.34849,7.17655,8.55186,10.9924,16.0653,31.6171,188.67,31.7296,16.0965,11.0076,8.56111,7.18293,6.35321,5.85481,-1.0,-1.0,-1.0,2.12323E-4,-2.75787E-4,32.0153,8.65137E-6,0.0,5.57568,4175.83,1.0,0.0,0.0,1
5690.23,6.34887,7.17698,8.55236,10.9931,16.0663,31.619,188.133,31.7276,16.0956,11.0069,8.5606,7.1825,6.35284,5.85446,-1.0,-1.0,-1.0,1.53802E-4,-2.7531E-4,34.3625,3.92933E-5,0.0,6.12939,4735.19,1.0,0.0,0.0,1
5690.82,6.34825,7.17628,8.55153,10.992,16.0647,31.6159,187.528,31.7308,16.0971,11.008,8.56144,7.1832,6.35345,5.85503,-1.0,-1.0,-1.0,2.49863E-4,-2.75787E-4,36.8476,-2.22972E-5,0.0,6.72314,5696.68,1.0,0.0,0.0,1
5691.46,6.34813,7.17615,8.55137,10.9918,16.0644,31.6151,186.89,31.7316,16.0975,11.0082,8.5616,7.18333,6.35357,5.85514,-1.0,-1.0,-1.0,2.68849E-4,-2.76264E-4,39.4591,-2.02078E-5,0.0,7.35986,7264.41,1.0,0.0,0.0,1
5692.14,6.34817,7.17619,8.55141,10.9918,16.0645,31.6143,186.214,31.7326,16.0974,11.0082,8.56156,7.1833,6.35354,5.85511,-1.0,-1.0,-1.0,2.63474E-4,-2.76264E-4,42.2022,-2.14804E-5,0.0,8.04102,8960.68,1.0,0.0,0.0,1
5692.87,6.34742,7.17533,8.5504,10.9905,16.0626,31.6084,185.474,31.7394,16.0993,11.0095,8.56257,7.18415,6.35429,5.8558,-1.0,-1.0,-1.0,3.8173E-4,-2.7674E-4,45.0169,-2.357E-5,0.0,8.76855,9423.6,1.0,0.0,0.0,1
5693.64,6.34773,7.17569,8.55083,10.9911,16.0634,31.6071,184.71,31.7412,16.0985,11.0089,8.56214,7.18379,6.35397,5.85551,-1.0,-1.0,-1.0,3.31532E-4,-2.7674E-4,47.8148,-2.53793E-5,0.0,9.54297,9572.33,1.0,0.0,0.0,1
5694.55,6.34719,7.17508,8.5501,10.9901,16.062,31.5984,183.798,31.7486,16.0999,11.0099,8.56287,7.1844,6.35451,5.856,-1.0,-1.0,-1.0,4.16322E-4,-2.77217E-4,50.838,-2.82578E-5,0.0,10.4482,9382.17,1.0,0.0,0.0,1
5695.51,6.34671,7.17453,8.54944,10.9893,16.0608,31.5906,182.838,31.7584,16.1011,11.0107,8.56353,7.18495,6.355,5.85645,-1.0,-1.0,-1.0,4.92876E-4,-2.77217E-4,53.8149,-2.96234E-5,0.0,11.4082,9581.64,1.0,0.0,0.0,1
5696.52,6.34692,7.17477,8.54972,10.9897,16.0613,31.5834,181.828,31.7666,16.1006,11.0103,8.56324,7.18471,6.35479,5.85626,-1.0,-1.0,-1.0,4.59151E-4,-2.77694E-4,56.7592,-3.11086E-5,0.0,12.4229,9123.48,1.0,0.0,0.0,1
5697.59,6.34619,7.17395,8.54875,10.9884,16.0595,31.57,180.755,31.7792,16.1024,11.0116,8.56422,7.18553,6.35552,5.85693,-1.0,-1.0,-1.0,5.73592E-4,-2.77694E-4,59.6764,-3.27665E-5,0.0,13.4907,9403.69,1.0,0.0,0.0,1
5698.71,6.34562,7.17331,8.54797,10.9874,16.058,31.553,179.627,31.7975,16.1039,11.0126,8.565,7.18618,6.35609,5.85745,-1.0,-1.0,-1.0,6.63237E-4,-2.78171E-4,62.5684,-3.41243E-5,0.0,14.6123,9584.29,1.0,0.0,0.0,1
5699.88,6.34596,7.17369,8.54843,10.988,16.0588,31.5386,178.468,31.8126,16.103,11.012,8.56454,7.18579,6.35574,5.85714,-1.0,-1.0,-1.0,6.09398E-4,-2.78171E-4,65.4291,-3.30854E-5,0.0,15.7861,9551.79,1.0,0.0,0.0,1
5701.11,6.34477,7.17234,8.54682,10.9859,16.0558,31.5144,177.226,31.8391,16.1061,11.0141,8.56615,7.18714,6.35694,5.85824,-1.0,-1.0,-1.0,7.97012E-4,-2.78648E-4,68.2498,-3.1453E-5,0.0,17.0127,9148.46,1.0,0.0,0.0,2
